condition	cond2	tradhyp	controltrans	liar	likemu_1	likejd_1	likepc	likepd_1	like	goodmu_1	goodjd_1	id	goodpc	goodpd_1	good	trustmu_1	trustjd_1	trustpc	trustpd_1	trust	honestmu_1	honestjd_1	honestpc	honestpd_1	honest	hypmu_1	hypjd_1	hyppc	hyppd_1	hyp	overall	age	gender	edu	income	generaltrust	previousexperience
tradhyp	1	1	0	0	42	31	74	29	44	43	54	312	73	50	55	70	69	73	73	71.25	74	60	72	55	65.25	39	64	10	47	40	58.875	54	1	4	3	6	2
controltrans	3	0	1	0	100	100	73	74	86.75	79	77	313	76	74	76.5	76	77	75	74	75.5	78	77	73	74	75.5	3	7	9	8	6.75	78.5625	40	1	2	2	1	2
controltrans	3	0	1	0	50	47	36	53	46.5	48	41	314	37	53	44.75	47	38	41	52	44.5	44	38	45	53	45	47	54	39	11	37.75	45.1875	20	1	2	1	5	2
tradhyp	1	1	0	0	58	50	50	37	48.75	50	44	315	36	41	42.75	50	30	50	44	43.5	50	36	38	28	38	72	71	78	85	76.5	43.25	24	1	4	2	4	2
tradhyp	1	1	0	0	32	26	25	28	27.75	19	24	316	16	31	22.5	17	24	41	8	22.5	12	10	14	7	10.75	90	92	94	95	92.75	20.875	30	1	4	6	5	2
liar	2	0	0	1	36	23	37	39	33.75	32	27	317	41	37	34.25	38	22	31	42	33.25	33	22	27	36	29.5	69	72	68	63	68	32.6875	44	1	5	8	4	4
liar	2	0	0	1	28	35	34	38	33.75	23	42	318	38	41	36	18	31	31	32	28	10	32	30	34	26.5	92	70	76	82	80	31.0625	56	2	4	5	5	1
controltrans	3	0	1	0	59	35	63	50	51.75	49	50	319	47	50	49	50	50	50	50	50	50	50	50	50	50	19	8	15	11	13.25	50.1875	40	1	5	4	2	1
controltrans	3	0	1	0	36	44	30	49	39.75	39	42	320	32	49	40.5	38	43	36	49	41.5	38	42	28	48	39	61	40	60	53	53.5	40.1875	50	2	6	8	4	1
liar	2	0	0	1	56	24	59	100	59.75	56	56	321	75	100	71.75	56	36	60	78	57.5	38	22	59	79	49.5	70	78	60	54	65.5	59.625	38	2	4	10	3	1
tradhyp	1	1	0	0	0	25	18	18	15.25	7	25	322	24	22	19.5	7	23	24	20	18.5	10	24	19	20	18.25	100	100	99	100	99.75	17.875	46	2	5	7	7	1
liar	2	0	0	1	52	17	79	23	42.75	69	21	323	72	22	46	54	12	71	12	37.25	26	15	77	13	32.75	0	93	0	98	47.75	39.6875	29	2	3	5	6	1
liar	2	0	0	1	47	32	53	49	45.25	36	45	324	46	47	43.5	24	25	45	44	34.5	24	26	42	46	34.5	59	61	56	56	58	39.4375	28	2	5	5	4	1
controltrans	3	0	1	0	48	50	50	51	49.75	50	49	325	50	50	49.75	31	51	50	50	45.5	25	50	50	50	43.75	21	50	50	49	42.5	47.1875	69	1	5	3	7	3
tradhyp	1	1	0	0	28	21	14	17	20	17	27	326	20	22	21.5	17	26	21	12	19	15	22	21	19	19.25	78	68	90	93	82.25	19.9375	32	1	4	2	3	2
tradhyp	1	1	0	0	34	43	27	35	34.75	18	36	327	21	35	27.5	22	39	29	36	31.5	7	24	32	26	22.25	94	86	99	98	94.25	29	59	2	4	10	6	3
liar	2	0	0	1	100	64	100	29	73.25	100	72	328	98	28	74.5	97	33	100	13	60.75	94	31	100	11	59	5	66	0	100	42.75	66.875	39	2	4	8	6	1
liar	2	0	0	1	44	36	41	29	37.5	45	33	329	42	37	39.25	46	36	37	33	38	46	36	41	33	39	54	65	60	64	60.75	38.4375	24	2	5	6	6	1
controltrans	3	0	1	0	12	6	49	26	23.25	10	8	330	31	38	21.75	9	8	49	32	24.5	20	6	29	49	26	49	74	51	49	55.75	23.875	30	1	4	5	4	2
tradhyp	1	1	0	0	30	44	41	48	40.75	29	44	331	23	22	29.5	41	30	41	47	39.75	0	32	14	29	18.75	92	85	86	60	80.75	32.1875	28	2	5	6	5	2
tradhyp	1	1	0	0	18	47	17	18	25	28	51	332	24	34	34.25	4	64	7	21	24	3	42	38	6	22.25	99	81	93	99	93	26.375	33	2	6	1	5	2
controltrans	3	0	1	0	0	40	52	0	23	0	44	333	47	0	22.75	0	48	49	0	24.25	0	41	48	0	22.25	0	51	40	100	47.75	23.0625	56	2	4	6	5	1
controltrans	3	0	1	0	3	59	25	7	23.5	3	68	334	34	9	28.5	6	41	33	10	22.5	12	42	22	14	22.5	79	26	42	71	54.5	24.25	19	1	4	1	3	2
controltrans	3	0	1	0	52	47	50	50	49.75	50	40	335	50	42	45.5	53	45	44	41	45.75	40	42	45	58	46.25	39	63	43	63	52	46.8125	37	2	2	8	3	3
controltrans	3	0	1	0	65	70	53	60	62	64	63	336	67	56	62.5	65	74	61	57	64.25	65	67	61	46	59.75	57	68	72	67	66	62.125	31	1	2	5	5	1
controltrans	3	0	1	0	44	58	22	41	41.25	33	58	337	31	37	39.75	39	62	36	54	47.75	27	63	30	46	41.5	64	40	60	59	55.75	42.5625	28	2	6	4	3	2
tradhyp	1	1	0	0	23	50	50	50	43.25	52	50	338	51	50	50.75	50	50	69	50	54.75	53	37	50	40	45	46	50	31	48	43.75	48.4375	22	2	4	10	4	3
controltrans	3	0	1	0	65	62	63	40	57.5	64	60	339	54	56	58.5	64	66	56	59	61.25	56	40	57	58	52.75	46	42	20	38	36.5	57.5	24	1	6	5	4	1
controltrans	3	0	1	0	59	88	23	59	57.25	44	57	340	16	36	38.25	25	72	18	42	39.25	26	60	22	39	36.75	87	43	80	60	67.5	42.875	55	1	5	6	6	1
liar	2	0	0	1	25	27	31	38	30.25	28	35	341	18	44	31.25	16	30	16	30	23	7	14	33	16	17.5	89	95	89	89	90.5	25.5	59	2	5	10	6	3
controltrans	3	0	1	0	16	69	22	30	34.25	10	60	342	37	37	36	9	63	11	35	29.5	11	72	33	42	39.5	98	25	84	20	56.75	34.8125	29	2	5	5	2	2
controltrans	3	0	1	0	50	58	62	50	55	41	69	343	62	72	61	27	50	67	57	50.25	16	50	62	81	52.25	73	50	65	8	49	54.625	38	2	4	6	5	1
liar	2	0	0	1	98	11	90	95	73.5	87	15	344	82	77	65.25	96	55	73	90	78.5	91	35	85	91	75.5	21	63	11	23	29.5	73.1875	24	1	3	4	6	2
controltrans	3	0	1	0	58	27	35	51	42.75	49	49	345	29	50	44.25	34	50	50	76	52.5	38	15	47	82	45.5	0	0	0	0	0	46.25	24	2	4	4	4	1
controltrans	3	0	1	0	32	24	46	13	28.75	47	36	346	10	27	30	37	23	32	37	32.25	41	58	25	37	40.25	81	39	29	88	59.25	32.8125	19	1	4	7	5	2
controltrans	3	0	1	0	48	39	44	42	43.25	39	40	347	46	44	42.25	33	43	47	47	42.5	37	36	48	47	42	40	40	46	43	42.25	42.5	37	1	5	6	5	1
controltrans	3	0	1	0	50	50	22	47	42.25	50	65	348	40	55	52.5	50	50	28	45	43.25	50	50	48	48	49	60	53	50	56	54.75	46.75	32	2	4	7	2	1
liar	2	0	0	1	40	20	38	50	37	50	27	349	50	46	43.25	36	26	38	47	36.75	37	33	39	47	39	73	72	56	57	64.5	39	23	1	5	2	5	3
liar	2	0	0	1	59	39	57	57	53	58	56	350	56	68	59.5	61	54	41	58	53.5	59	36	57	60	53	36	58	34	64	48	54.75	30	1	5	8	4	3
controltrans	3	0	1	0	75	80	88	87	82.5	87	68	351	87	86	82	85	70	68	75	74.5	89	81	87	77	83.5	88	83	74	69	78.5	80.625	29	1	4	7	6	5
liar	2	0	0	1	57	53	63	57	57.5	56	37	352	55	53	50.25	41	33	55	43	43	40	27	54	44	41.25	59	76	46	58	59.75	48	36	2	5	10	5	1
controltrans	3	0	1	0	50	50	50	50	50	65	51	353	48	54	54.5	73	40	46	50	52.25	56	56	56	55	55.75	11	50	70	44	43.75	53.125	25	2	4	4	3	3
liar	2	0	0	1	50	50	50	55	51.25	50	50	354	50	50	50	43	47	47	50	46.75	35	39	43	39	39	64	56	53	55	57	46.75	64	2	6	8	6	2
tradhyp	1	1	0	0	30	22	43	47	35.5	28	44	355	43	51	41.5	8	27	40	46	30.25	5	12	37	41	23.75	96	92	81	96	91.25	32.75	27	2	5	7	5	1
liar	2	0	0	1	56	57	64	55	58	55	56	356	61	57	57.25	57	54	61	57	57.25	58	60	60	58	59	56	55	63	58	58	57.875	30	1	5	6	4	3
tradhyp	1	1	0	0	67	78	20	22	46.75	60	69	357	29	22	45	33	64	22	21	35	67	30	26	24	36.75	100	100	13	100	78.25	40.875	32	1	6	9	5	2
liar	2	0	0	1	10	19	25	20	18.5	12	17	358	25	19	18.25	12	18	11	19	15	12	19	11	14	14	100	100	100	100	100	16.4375	49	2	2	6	7	1
tradhyp	1	1	0	0	15	42	39	6	25.5	36	46	359	44	28	38.5	11	38	44	49	35.5	12	26	34	39	27.75	100	64	80	100	86	31.8125	24	2	5	1	5	2
liar	2	0	0	1	0	1	10	3	3.5	50	50	360	49	50	49.75	2	1	7	3	3.25	13	4	6	4	6.75	100	100	100	100	100	15.8125	39	1	5	6	6	2
tradhyp	1	1	0	0	40	41	50	27	39.5	0	55	361	53	29	34.25	36	6	22	44	27	0	0	36	17	13.25	100	100	100	100	100	28.5	24	2	2	3	6	1
liar	2	0	0	1	17	16	26	27	21.5	12	25	362	31	40	27	0	4	2	1	1.75	0	0	0	0	0	94	83	97	100	93.5	12.5625	27	2	5	7	3	2
controltrans	3	0	1	0	2	29	8	7	11.5	3	22	363	7	6	9.5	4	7	6	5	5.5	2	9	6	6	5.75	86	75	84	82	81.75	8.0625	58	2	5	6	4	1
controltrans	3	0	1	0	2	32	14	50	24.5	50	13	364	17	50	32.5	51	15	28	50	36	17	47	50	50	41	86	13	50	25	43.5	33.5	39	1	6	10	5	1
tradhyp	1	1	0	0	50	50	50	50	50	51	51	365	50	50	50.5	34	45	44	37	40	39	52	41	43	43.75	100	100	100	100	100	46.0625	39	1	3	1	1	2
controltrans	3	0	1	0	47	63	22	47	44.75	44	65	366	20	42	42.75	38	61	18	37	38.5	28	60	35	42	41.25	16	64	29	32	35.25	41.8125	27	2	6	6	6	1
tradhyp	1	1	0	0	50	50	85	50	58.75	50	50	367	81	50	57.75	6	50	83	50	47.25	24	51	93	30	49.5	100	70	26	85	70.25	53.3125	30	1	2	2	7	1
controltrans	3	0	1	0	50	49	50	50	49.75	48	49	368	48	46	47.75	49	49	50	50	49.5	49	51	49	50	49.75	27	29	0	31	21.75	49.1875	33	2	4	10	5	1
liar	2	0	0	1	30	31	26	24	27.75	42	24	369	54	27	36.75	22	19	24	13	19.5	24	37	20	8	22.25	81	83	79	68	77.75	26.5625	35	2	4	7	3	3
controltrans	3	0	1	0	44	42	42	22	37.5	37	44	370	44	18	35.75	44	45	40	21	37.5	38	44	46	21	37.25	35	47	45	20	36.75	37	34	1	6	4	5	1
liar	2	0	0	1	33	33	22	41	32.25	41	27	371	34	42	36	15	15	29	34	23.25	20	17	12	13	15.5	78	9	68	12	41.75	26.75	28	2	5	10	6	1
controltrans	3	0	1	0	0	0	0	0	0	0	0	372	0	0	0	0	0	0	0	0	0	0	0	0	0	100	100	100	100	100	0	63	2	4	4	2	1
liar	2	0	0	1	47	43	47	40	44.25	48	45	373	45	45	45.75	48	40	41	39	42	55	42	44	41	45.5	62	81	75	68	71.5	44.375	24	1	5	3	4	2
controltrans	3	0	1	0	47	52	50	48	49.25	43	51	374	53	52	49.75	54	48	47	47	49	61	36	48	47	48	1	0	46	84	32.75	49	23	1	5	6	3	1
tradhyp	1	1	0	0	24	24	3	14	16.25	37	41	375	39	27	36	10	19	44	26	24.75	8	23	32	27	22.5	9	77	25	1	28	24.875	28	1	4	4	4	2
liar	2	0	0	1	30	26	21	39	29	5	26	376	18	37	21.5	12	26	14	30	20.5	19	81	7	28	33.75	92	86	84	76	84.5	26.1875	41	2	6	6	7	1
tradhyp	1	1	0	0	36	42	37	40	38.75	41	62	377	44	37	46	39	42	44	21	36.5	37	39	35	37	37	78	79	71	74	75.5	39.5625	24	1	5	9	5	3
liar	2	0	0	1	24	47	42	47	40	41	49	378	39	49	44.5	5	34	19	12	17.5	3	22	13	12	12.5	90	82	92	65	82.25	28.625	31	1	2	3	4	1
tradhyp	1	1	0	0	0	50	50	50	37.5	17	35	379	12	52	29	0	42	0	32	18.5	0	37	0	17	13.5	88	73	100	76	84.25	24.625	35	2	2	4	3	1
liar	2	0	0	1	61	44	79	30	53.5	81	82	380	83	51	74.25	96	84	83	34	74.25	88	86	90	24	72	19	13	19	66	29.25	68.5	41	1	5	3	6	2
tradhyp	1	1	0	0	0	0	26	21	11.75	0	0	381	15	47	15.5	0	0	21	33	13.5	0	0	22	28	12.5	100	100	64	29	73.25	13.3125	43	2	6	5	4	3
tradhyp	1	1	0	0	7	4	10	9	7.5	8	3	382	16	15	10.5	4	3	18	20	11.25	8	3	12	18	10.25	7	3	99	2	27.75	9.875	60	1	5	6	4	1
controltrans	3	0	1	0	50	59	23	48	45	49	55	383	41	50	48.75	50	39	38	50	44.25	50	44	24	50	42	50	84	85	50	67.25	45	27	2	4	10	2	1
controltrans	3	0	1	0	42	50	37	50	44.75	52	50	384	50	50	50.5	50	50	50	50	50	51	50	51	50	50.5	54	50	50	50	51	48.9375	33	2	5	1	2	2
tradhyp	1	1	0	0	50	50	50	50	50	51	48	385	50	50	49.75	28	50	50	50	44.5	35	50	50	51	46.5	76	50	50	50	56.5	47.6875	36	1	2	4	5	2
liar	2	0	0	1	22	27	30	14	23.25	29	42	386	36	33	35	23	19	22	15	19.75	0	0	24	16	10	100	100	84	100	96	22	24	2	5	2	5	1
controltrans	3	0	1	0	45	26	26	36	33.25	50	24	387	24	40	34.5	29	27	32	37	31.25	32	26	39	38	33.75	55	66	66	61	62	33.1875	49	1	5	8	4	1
tradhyp	1	1	0	0	41	42	46	45	43.5	50	44	388	50	48	48	44	47	48	46	46.25	37	45	42	16	35	87	90	80	83	85	43.1875	45	2	4	3	7	1
controltrans	3	0	1	0	45	58	44	58	51.25	44	48	389	46	60	49.5	41	57	42	58	49.5	45	58	37	62	50.5	53	40	58	37	47	50.1875	26	2	6	7	5	3
liar	2	0	0	1	22	22	20	50	28.5	22	20	390	6	50	24.5	19	22	18	38	24.25	20	21	19	39	24.75	77	83	86	77	80.75	25.5	42	2	2	2	5	1
controltrans	3	0	1	0	7	6	8	17	9.5	2	6	391	6	26	10	8	7	9	19	10.75	8	5	7	17	9.25	85	89	7	86	66.75	9.875	33	2	3	3	5	1
liar	2	0	0	1	49	51	52	50	50.5	50	50	392	50	50	50	33	51	50	52	46.5	34	35	19	42	32.5	11	4	21	18	13.5	44.875	43	2	2	4	6	1
controltrans	3	0	1	0	71	50	38	52	52.75	50	42	393	32	50	43.5	50	50	44	54	49.5	50	50	50	50	50	17	50	51	44	40.5	48.9375	50	1	4	6	5	1
tradhyp	1	1	0	0	11	18	28	7	16	44	16	394	20	41	30.25	11	17	27	22	19.25	7	16	25	17	16.25	83	90	73	77	80.75	20.4375	23	1	4	2	2	2
tradhyp	1	1	0	0	54	63	40	55	53	59	58	395	36	59	53	47	59	67	61	58.5	48	67	39	54	52	55	66	68	54	60.75	54.125	45	1	5	5	4	1
controltrans	3	0	1	0	50	50	50	50	50	47	50	396	51	51	49.75	35	44	47	50	44	34	44	50	50	44.5	12	50	30	31	30.75	47.0625	43	1	5	6	5	1
controltrans	3	0	1	0	40	50	30	41	40.25	40	41	397	29	37	36.75	30	25	29	50	33.5	29	26	29	50	33.5	20	50	50	50	42.5	36	33	1	6	2	1	1
controltrans	3	0	1	0	60	59	12	12	35.75	73	57	398	19	30	44.75	73	59	34	38	51	75	41	37	25	44.5	6	39	69	63	44.25	44	31	2	5	5	6	2
liar	2	0	0	1	33	24	46	50	38.25	51	48	399	42	50	47.75	20	12	25	36	23.25	22	13	39	36	27.5	20	26	21	66	33.25	34.1875	50	1	4	4	5	2
tradhyp	1	1	0	0	29	46	22	42	34.75	46	48	400	25	32	37.75	13	37	14	33	24.25	0	32	20	20	18	100	100	100	100	100	28.6875	25	1	2	6	5	3
controltrans	3	0	1	0	45	57	19	65	46.5	36	56	401	47	65	51	41	58	43	62	51	37	57	25	70	47.25	36	48	73	33	47.5	48.9375	44	2	4	4	5	1
tradhyp	1	1	0	0	0	44	0	0	11	35	48	402	21	40	36	0	47	0	40	21.75	38	46	1	40	31.25	100	34	0	3	34.25	25	22	1	2	1	4	1
liar	2	0	0	1	20	5	16	36	19.25	13	6	403	19	18	14	12	8	12	33	16.25	16	8	25	40	22.25	87	84	73	53	74.25	17.9375	42	1	6	10	2	4
controltrans	3	0	1	0	56	64	5	28	38.25	45	75	404	22	35	44.25	57	71	17	18	40.75	44	70	30	30	43.5	64	28	68	74	58.5	41.6875	25	2	6	6	5	1
tradhyp	1	1	0	0	8	17	7	13	11.25	9	12	405	2	9	8	6	10	11	8	8.75	8	6	11	13	9.5	91	100	98	95	96	9.375	30	1	2	5	6	1
liar	2	0	0	1	33	27	34	6	25	44	55	406	75	35	52.25	23	39	42	48	38	14	11	65	59	37.25	88	92	85	62	81.75	38.125	23	2	5	3	1	2
liar	2	0	0	1	53	69	42	41	51.25	31	58	407	44	34	41.75	32	31	39	29	32.75	39	64	74	61	59.5	64	35	39	70	52	46.3125	29	1	5	4	3	1
controltrans	3	0	1	0	34	43	22	41	35	43	44	408	16	40	35.75	26	43	24	25	29.5	11	10	17	31	17.25	100	85	100	89	93.5	29.375	26	1	5	6	5	1
controltrans	3	0	1	0	56	60	0	56	43	31	41	409	31	72	43.75	42	53	19	68	45.5	23	42	11	40	29	65	25	81	63	58.5	40.3125	24	2	4	5	5	3
controltrans	3	0	1	0	66	98	20	9	48.25	64	92	410	20	25	50.25	59	85	45	50	59.75	53	88	45	50	59	5	0	9	9	5.75	54.3125	38	2	5	8	4	2
liar	2	0	0	1	44	22	47	45	39.5	43	48	411	38	55	46	1	32	25	47	26.25	6	4	39	43	23	98	89	81	64	83	33.6875	50	2	5	7	4	3
tradhyp	1	1	0	0	19	25	34	29	26.75	22	37	412	44	43	36.5	30	30	36	37	33.25	40	26	33	41	35	65	66	82	66	69.75	32.875	23	2	5	3	7	3
tradhyp	1	1	0	0	0	0	2	20	5.5	9	8	413	13	23	13.25	23	4	1	4	8	16	10	0	13	9.75	99	100	100	100	99.75	9.125	22	2	5	5	5	1
tradhyp	1	1	0	0	56	98	50	48	63	32	54	414	50	47	45.75	52	53	50	52	51.75	45	71	49	50	53.75	88	100	75	98	90.25	53.5625	27	2	5	10	6	1
tradhyp	1	1	0	0	71	65	53	55	61	50	62	415	50	44	51.5	37	52	48	44	45.25	45	43	56	46	47.5	75	55	58	73	65.25	51.3125	22	2	5	1	5	1
liar	2	0	0	1	16	32	34	36	29.5	22	4	416	35	42	25.75	21	35	35	38	32.25	9	24	26	24	20.75	100	94	88	79	90.25	27.0625	24	1	5	8	5	2
controltrans	3	0	1	0	82	73	73	69	74.25	79	75	417	73	73	75	64	73	70	71	69.5	66	71	75	70	70.5	24	32	28	38	30.5	72.3125	30	2	5	6	4	1
liar	2	0	0	1	12	35	22	25	23.5	25	34	418	21	20	25	30	23	22	16	22.75	26	20	17	28	22.75	89	86	94	87	89	23.5	38	1	6	6	5	2
liar	2	0	0	1	48	48	50	15	40.25	50	18	419	53	18	34.75	48	10	51	5	28.5	49	11	51	10	30.25	45	56	41	52	48.5	33.4375	58	2	4	9	4	1
tradhyp	1	1	0	0	38	52	47	47	46	45	48	420	43	46	45.5	19	41	36	45	35.25	32	41	40	47	40	95	72	60	70	74.25	41.6875	62	1	7	3	3	2
tradhyp	1	1	0	0	22	26	19	27	23.5	23	26	421	20	30	24.75	24	25	22	24	23.75	22	26	20	24	23	75	75	75	73	74.5	23.75	56	2	4	3	3	1
liar	2	0	0	1	0	50	0	50	25	50	50	422	50	50	50	0	50	50	50	37.5	0	50	0	50	25	100	50	50	50	62.5	34.375	23	1	4	3	7	1
liar	2	0	0	1	0	0	0	0	0	0	8	423	0	0	2	0	0	0	0	0	0	0	0	0	0	100	100	100	100	100	0.5	22	2	4	8	5	2
tradhyp	1	1	0	0	5	0	0	4	2.25	30	0	424	0	10	10	8	0	0	0	2	2	0	0	0	0.5	100	100	100	100	100	3.6875	21	2	4	5	5	1
tradhyp	1	1	0	0	38	50	36	45	42.25	50	50	425	50	50	50	38	47	30	24	34.75	32	46	36	30	36	83	46	73	85	71.75	40.75	55	2	4	6	4	1
liar	2	0	0	1	24	27	10	18	19.75	22	33	426	35	42	33	17	26	15	6	16	26	13	25	25	22.25	77	73	78	69	74.25	22.75	24	1	5	6	3	3
liar	2	0	0	1	46	51	36	39	43	35	38	427	36	34	35.75	46	69	39	89	60.75	50	29	34	37	37.5	44	34	37	28	35.75	44.25	44	1	4	6	4	3
liar	2	0	0	1	57	86	96	57	74	61	72	428	65	65	65.75	37	62	58	33	47.5	35	59	58	39	47.75	35	84	57	74	62.5	58.75	34	2	4	10	3	2
tradhyp	1	1	0	0	13	30	10	19	18	13	20	429	21	19	18.25	30	15	32	36	28.25	1	6	1	12	5	89	75	95	93	88	17.375	24	1	4	1	3	2
controltrans	3	0	1	0	50	7	9	9	18.75	50	51	430	11	37	37.25	26	6	11	40	20.75	31	21	10	41	25.75	18	15	70	17	30	25.625	23	1	5	4	3	1
controltrans	3	0	1	0	38	46	24	38	36.5	42	42	431	41	40	41.25	37	44	28	30	34.75	38	53	23	32	36.5	60	53	76	62	62.75	37.25	55	1	5	8	5	1
controltrans	3	0	1	0	39	62	56	38	48.75	28	57	432	51	35	42.75	34	57	40	33	41	30	64	31	39	41	100	35	86	95	79	43.375	27	1	2	2	3	2
controltrans	3	0	1	0	91	89	96	91	91.75	86	89	433	91	92	89.5	89	88	94	89	90	88	89	92	92	90.25	13	11	6	9	9.75	90.375	37	1	4	1	6	1
liar	2	0	0	1	0	12	7	24	10.75	0	9	434	6	21	9	0	0	14	4	4.5	0	0	0	15	3.75	100	100	100	100	100	7	23	2	2	2	4	1
tradhyp	1	1	0	0	0	0	24	0	6	0	0	435	8	0	2	0	0	9	0	2.25	0	0	0	0	0	100	0	100	100	75	2.5625	37	2	4	4	6	3
controltrans	3	0	1	0	58	46	18	40	40.5	56	9	436	6	25	24	18	13	17	13	15.25	53	3	5	25	21.5	37	78	78	78	67.75	25.3125	25	1	5	5	2	2
tradhyp	1	1	0	0	34	50	50	10	36	50	37	437	50	50	46.75	16	60	50	50	44	50	25	21	24	30	81	36	93	58	67	39.1875	33	1	5	5	2	3
controltrans	3	0	1	0	25	29	26	31	27.75	28	19	438	22	37	26.5	28	24	28	42	30.5	19	19	31	35	26	25	18	24	60	31.75	27.6875	57	2	6	10	6	1
controltrans	3	0	1	0	48	54	57	75	58.5	76	69	439	68	60	68.25	57	56	46	72	57.75	70	39	55	52	54	28	18	14	55	28.75	59.625	21	1	4	7	4	1
liar	2	0	0	1	53	30	42	22	36.75	68	60	440	39	29	49	60	29	38	25	38	26	35	38	25	31	50	64	56	71	60.25	38.6875	30	1	4	5	6	1
tradhyp	1	1	0	0	47	40	39	33	39.75	46	45	441	40	50	45.25	21	45	38	19	30.75	10	21	22	23	19	87	93	79	100	89.75	33.6875	22	2	4	3	4	1
tradhyp	1	1	0	0	20	9	69	29	31.75	36	10	442	63	32	35.25	6	4	56	16	20.5	3	2	40	13	14.5	97	98	34	86	78.75	25.5	25	2	5	4	5	3
tradhyp	1	1	0	0	60	31	23	43	39.25	69	41	443	30	40	45	72	23	21	40	39	98	23	31	11	40.75	22	88	98	97	76.25	41	65	2	2	7	6	2
liar	2	0	0	1	70	57	76	58	65.25	63	63	444	79	75	70	27	32	33	62	38.5	26	33	22	49	32.5	87	81	85	77	82.5	51.5625	44	2	5	1	6	1
liar	2	0	0	1	21	33	28	41	30.75	26	43	445	30	46	36.25	14	26	41	44	31.25	1	27	26	40	23.5	94	77	80	75	81.5	30.4375	25	2	5	5	5	2
liar	2	0	0	1	33	65	57	47	50.5	42	34	446	52	47	43.75	41	32	39	46	39.5	31	39	39	45	38.5	78	69	68	55	67.5	43.0625	35	1	5	7	5	2
tradhyp	1	1	0	0	50	38	24	50	40.5	29	26	447	0	50	26.25	8	6	14	31	14.75	0	7	7	16	7.5	100	100	100	100	100	22.25	24	2	4	4	5	1
controltrans	3	0	1	0	24	50	50	50	43.5	20	50	448	50	50	42.5	25	50	50	50	43.75	19	50	50	50	42.25	8	50	50	12	30	43	52	2	5	10	5	1
controltrans	3	0	1	0	16	24	55	59	38.5	38	21	449	39	69	41.75	20	10	42	74	36.5	14	11	57	66	37	100	100	0	0	50	38.4375	22	2	3	5	3	2
controltrans	3	0	1	0	11	42	13	23	22.25	12	38	450	17	17	21	3	33	17	23	19	10	16	27	29	20.5	71	76	83	59	72.25	20.6875	53	2	4	7	1	1
controltrans	3	0	1	0	38	54	51	51	48.5	48	70	451	57	55	57.5	29	75	56	44	51	25	50	52	53	45	85	19	32	34	42.5	50.5	43	2	4	5	4	2
